,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
3836831,2.01506142024e+13,-77.37756,39.22175,KCCX,T1,106,164,0,30,0.5
3837291,2.01506142027e+13,-77.36061,39.2194,KAKQ,L2,135,353,-999,-999,-999.0
3837352,2.01506142027e+13,-77.33732,39.23367,KDOX,Y0,92,286,0,40,0.5
3837385,2.01506142028e+13,-77.35798,39.21166,KPBZ,P4,154,120,-999,-999,-999.0
3837464,2.01506142028e+13,-77.3371,39.2252,KDCA,K0,33,328,0,30,0.5
3837483,2.01506142028e+13,-77.32713,39.23075,KLWX,W2,17,26,0,40,0.5
3837540,2.01506142028e+13,-77.33333,39.21431,KCCX,T1,107,163,0,40,0.5
3837879,2.01506142031e+13,-77.32385,39.21759,KDIX,P0,142,253,-999,-999,-999.0
3837953,2.01506142032e+13,-77.31046,39.22399,KAKQ,L2,135,354,-999,-999,-999.0
3837982,2.01506142032e+13,-77.31658,39.2294,KDOX,Y0,91,286,0,10,0.5
3838425,2.01506142035e+13,-77.30356,39.22299,KDIX,P0,141,253,-999,-999,-999.0
3838672,2.01506142037e+13,-77.31046,39.22399,KAKQ,L2,135,354,-999,-999,-999.0
3838694,2.01506142037e+13,-77.22537,39.34446,KDOX,J3,89,291,0,20,0.5
3838958,2.01506142038e+13,-77.22652,39.34766,KCCX,V9,101,159,0,20,0.5
3839400,2.01506142041e+13,-77.25828,39.21125,KAKQ,L2,134,355,-999,-999,-999.0
3840152,2.01506142046e+13,-77.25635,39.19462,KAKQ,L2,133,355,-999,-999,-999.0
3840178,2.01506142046e+13,-76.91555,39.00709,KADW,F1,19,350,0,10,0.5
3840880,2.01506142051e+13,-77.05581,39.11953,KAKQ,X5,128,359,-999,-999,-999.0
3841092,2.01506142052e+13,-76.90846,39.02259,KDCA,Z1,16,9,0,10,0.5
3841170,2.01506142052e+13,-76.90155,39.00883,KADW,F1,19,352,0,20,0.5
3841171,2.01506142052e+13,-77.06968,39.12782,KADW,I1,28,338,0,30,0.5
3841732,2.01506142056e+13,-76.91699,39.01844,KAKQ,P5,122,2,0,60,0.5
3841953,2.01506142058e+13,-77.01711,39.10692,KCCX,H7,118,157,0,30,0.5
3842025,2.01506142058e+13,-77.03571,39.12142,KDCA,X1,22,351,0,20,0.5
3842205,2.01506142059e+13,-77.01627,39.1108,KIAD,J4,24,86,0,20,0.5
3842449,2.01506142101e+13,-77.01493,39.10508,KBWI,G1,18,273,0,10,0.5
3842486,2.01506142101e+13,-77.008,39.10317,KAKQ,X5,127,360,-999,-999,-999.0
